time_iso8601,forks_cumulative
2022-09-14 00:00:00+00:00,228
2022-09-17 00:00:00+00:00,230
2022-09-18 00:00:00+00:00,231
2022-09-20 00:00:00+00:00,232
2022-09-22 00:00:00+00:00,233
2022-09-23 00:00:00+00:00,234
2022-09-24 00:00:00+00:00,235
2022-09-27 00:00:00+00:00,236
2022-09-28 00:00:00+00:00,237
2022-10-03 00:00:00+00:00,239
2022-10-05 00:00:00+00:00,240
2022-10-07 00:00:00+00:00,242
2022-10-08 00:00:00+00:00,243
2022-10-12 00:00:00+00:00,244
2022-10-17 00:00:00+00:00,245
2022-10-19 00:00:00+00:00,247
2022-10-21 00:00:00+00:00,248
2022-10-27 00:00:00+00:00,249
2022-11-01 00:00:00+00:00,250
2022-11-02 00:00:00+00:00,252
2022-11-05 00:00:00+00:00,253
2022-11-06 00:00:00+00:00,254
2022-11-11 00:00:00+00:00,255
2022-11-13 00:00:00+00:00,256
2022-11-14 00:00:00+00:00,257
2022-11-15 00:00:00+00:00,258
2022-11-17 00:00:00+00:00,259
2022-11-18 00:00:00+00:00,261
2022-11-23 00:00:00+00:00,264
2022-11-29 00:00:00+00:00,266
2022-12-02 00:00:00+00:00,269
2022-12-03 00:00:00+00:00,270
2022-12-04 00:00:00+00:00,272
2022-12-05 00:00:00+00:00,273
2022-12-06 00:00:00+00:00,275
2022-12-07 00:00:00+00:00,278
2022-12-09 00:00:00+00:00,279
2022-12-10 00:00:00+00:00,280
2022-12-13 00:00:00+00:00,282
2022-12-19 00:00:00+00:00,283
2022-12-20 00:00:00+00:00,284
2022-12-21 00:00:00+00:00,285
2022-12-23 00:00:00+00:00,286
2022-12-25 00:00:00+00:00,287
2023-01-02 00:00:00+00:00,289
2023-01-03 00:00:00+00:00,290
2023-01-09 00:00:00+00:00,291
2023-01-10 00:00:00+00:00,292
2023-01-12 00:00:00+00:00,293
2023-01-19 00:00:00+00:00,295
2023-01-21 00:00:00+00:00,298
2023-01-26 00:00:00+00:00,300
2023-01-27 00:00:00+00:00,301
2023-02-01 00:00:00+00:00,303
2023-02-02 00:00:00+00:00,304
2023-02-03 00:00:00+00:00,305
2023-02-05 00:00:00+00:00,306
2023-02-07 00:00:00+00:00,307
2023-02-09 00:00:00+00:00,308
2023-02-11 00:00:00+00:00,309
2023-02-12 00:00:00+00:00,310
2023-02-15 00:00:00+00:00,311
2023-02-17 00:00:00+00:00,312
2023-02-18 00:00:00+00:00,314
2023-02-19 00:00:00+00:00,316
2023-02-20 00:00:00+00:00,318
2023-02-21 00:00:00+00:00,320
2023-02-22 00:00:00+00:00,321
2023-02-23 00:00:00+00:00,324
2023-02-24 00:00:00+00:00,328
2023-02-25 00:00:00+00:00,330
2023-02-26 00:00:00+00:00,331
2023-02-27 00:00:00+00:00,332
2023-02-28 00:00:00+00:00,334
2023-03-01 00:00:00+00:00,337
2023-03-02 00:00:00+00:00,338
2023-03-03 00:00:00+00:00,339
2023-03-04 00:00:00+00:00,342
2023-03-06 00:00:00+00:00,346
2023-03-07 00:00:00+00:00,352
2023-03-08 00:00:00+00:00,357
2023-03-09 00:00:00+00:00,360
2023-03-10 00:00:00+00:00,361
2023-03-11 00:00:00+00:00,362
2023-03-12 00:00:00+00:00,365
2023-03-13 00:00:00+00:00,367
2023-03-14 00:00:00+00:00,370
2023-03-15 00:00:00+00:00,371
2023-03-16 00:00:00+00:00,372
2023-03-19 00:00:00+00:00,373
2023-03-20 00:00:00+00:00,376
2023-03-21 00:00:00+00:00,377
2023-03-22 00:00:00+00:00,379
2023-03-23 00:00:00+00:00,380
2023-03-26 00:00:00+00:00,384
2023-03-28 00:00:00+00:00,385
2023-03-29 00:00:00+00:00,388
2023-03-30 00:00:00+00:00,390
2023-03-31 00:00:00+00:00,391
2023-04-01 00:00:00+00:00,392
2023-04-02 00:00:00+00:00,394
2023-04-03 00:00:00+00:00,397
2023-04-04 00:00:00+00:00,401
2023-04-08 00:00:00+00:00,403
