url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,2051,1086
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,841,424
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/efficient-sam,639,611
/openvinotoolkit/openvino_notebooks/wiki/Windows,622,318
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/stable-video-diffusion/stable-video-diffusion.ipynb,605,462
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/latent-consistency-models-image-generation,531,497
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,328,231
/openvinotoolkit/openvino_notebooks/tree/latest,297,201
/openvinotoolkit/openvino_notebooks/pulls,244,32
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,229,149
