url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/274-efficient-sam,16316,8220
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/263-latent-consistency-models-image-generation,7303,3624
/openvinotoolkit/openvino_notebooks,2551,1232
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,2326,511
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,995,313
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,780,229
/openvinotoolkit/openvino_notebooks/wiki/Windows,704,386
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/stable-video-diffusion/stable-video-diffusion.ipynb,640,240
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,506,157
/openvinotoolkit/openvino_notebooks/pulls,489,32
