time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-03 00:00:00+00:00,123,33,996,304
2025-11-04 00:00:00+00:00,121,65,1170,377
2025-11-05 00:00:00+00:00,110,46,859,345
2025-11-06 00:00:00+00:00,92,37,789,304
2025-11-07 00:00:00+00:00,159,65,768,284
2025-11-08 00:00:00+00:00,45,24,1016,201
2025-11-09 00:00:00+00:00,47,24,397,159
2025-11-10 00:00:00+00:00,117,38,789,336
2025-11-11 00:00:00+00:00,105,31,829,310
2025-11-12 00:00:00+00:00,97,41,1055,385
2025-11-13 00:00:00+00:00,346,36,1442,391
2025-11-14 00:00:00+00:00,610,33,1554,369
2025-11-15 00:00:00+00:00,68,18,905,165
2025-11-16 00:00:00+00:00,115,13,470,177
