url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,2928,616
/openvinotoolkit/openvino_notebooks,2672,1250
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,1571,411
/openvinotoolkit/openvino_notebooks/pulls,942,44
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,874,236
/openvinotoolkit/openvino_notebooks/blob/main/README.md,864,326
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-llm-chatbot.ipynb,822,201
/openvinotoolkit/openvino_notebooks/wiki/Windows,557,286
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/230-yolov8-optimization/230-yolov8-object-detection.ipynb,533,140
/openvinotoolkit/openvino_notebooks/tree/main,509,267
