time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-27 00:00:00+00:00,454,15,2123,853
2025-01-28 00:00:00+00:00,302,16,2086,1014
2025-01-29 00:00:00+00:00,186,19,1676,888
2025-01-30 00:00:00+00:00,265,40,1842,876
2025-01-31 00:00:00+00:00,225,49,2024,885
2025-02-01 00:00:00+00:00,47,23,1219,710
2025-02-02 00:00:00+00:00,50,25,1135,734
2025-02-03 00:00:00+00:00,261,45,2072,894
2025-02-04 00:00:00+00:00,229,42,2236,896
2025-02-05 00:00:00+00:00,273,52,2462,935
2025-02-06 00:00:00+00:00,414,58,2742,1027
2025-02-07 00:00:00+00:00,457,60,2553,833
2025-02-08 00:00:00+00:00,72,33,1678,777
2025-02-09 00:00:00+00:00,45,20,1126,601
