url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,3033,1453
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,2689,609
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/242-freevc-voice-conversion/242-freevc-voice-conversion.ipynb,2256,1143
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,1500,400
/openvinotoolkit/openvino_notebooks/wiki/Windows,737,387
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/241-riffusion-text-to-music/241-riffusion-text-to-music.ipynb,699,372
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,681,217
/openvinotoolkit/openvino_notebooks/pulls,672,35
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-rag-langchain/llm-rag-langchain.ipynb,666,227
/openvinotoolkit/openvino_notebooks/tree/recipes/recipes/defect_detection_anomalib,619,202
