url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,1366,806
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,726,314
/openvinotoolkit/openvino_notebooks/wiki/Windows,392,217
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/gemma4/gemma4.ipynb,360,204
/openvinotoolkit/openvino_notebooks/tree/latest,299,165
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,289,222
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/gemma4,288,181
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,282,214
/openvinotoolkit/openvino_notebooks/pulls,241,35
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,204,119
