time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-12 00:00:00+00:00,89,26,1218,381
2026-02-13 00:00:00+00:00,294,48,598,207
2026-02-14 00:00:00+00:00,44,22,934,180
2026-02-15 00:00:00+00:00,124,28,435,188
2026-02-16 00:00:00+00:00,78,34,429,194
2026-02-17 00:00:00+00:00,41,29,648,255
2026-02-18 00:00:00+00:00,63,27,720,277
2026-02-19 00:00:00+00:00,64,34,577,258
2026-02-20 00:00:00+00:00,159,31,713,249
2026-02-21 00:00:00+00:00,358,21,571,205
2026-02-22 00:00:00+00:00,41,21,866,177
2026-02-23 00:00:00+00:00,61,33,871,346
2026-02-24 00:00:00+00:00,81,36,1138,433
2026-02-25 00:00:00+00:00,84,41,1058,398
