time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-21 00:00:00+00:00,30,10,566,221
2024-12-22 00:00:00+00:00,26,6,596,227
2024-12-23 00:00:00+00:00,135,18,1396,447
2024-12-24 00:00:00+00:00,206,9,1068,363
2024-12-25 00:00:00+00:00,81,18,788,278
2024-12-26 00:00:00+00:00,49,13,991,401
2024-12-27 00:00:00+00:00,146,15,1172,349
2024-12-28 00:00:00+00:00,25,6,452,210
2024-12-29 00:00:00+00:00,24,4,585,192
2024-12-30 00:00:00+00:00,92,13,871,296
2024-12-31 00:00:00+00:00,34,14,808,262
2025-01-01 00:00:00+00:00,38,10,447,196
2025-01-02 00:00:00+00:00,68,18,1140,414
2025-01-03 00:00:00+00:00,69,26,1190,356
