url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,2368,1183
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/latent-consistency-models-image-generation,998,946
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,953,447
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/efficient-sam,879,808
/openvinotoolkit/openvino_notebooks/wiki/Windows,737,369
/openvinotoolkit/openvino_notebooks/pulls,684,38
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/stable-video-diffusion/stable-video-diffusion.ipynb,479,397
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,375,247
/openvinotoolkit/openvino_notebooks/tree/latest,281,190
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,254,182
