referrer,views_total,views_unique
docs.openvino.ai,788,247
Google,659,279
github.com,397,138
notebooks.githubusercontent.com,324,87
intel.com,98,36
colab.research.google.com,72,25
Bing,71,34
docs.ultralytics.com,64,15
medium.com,60,36
chatgpt.com,23,14
