time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-23 00:00:00+00:00,248,19,1944,852
2025-01-24 00:00:00+00:00,166,18,1783,761
2025-01-25 00:00:00+00:00,27,7,928,523
2025-01-26 00:00:00+00:00,42,9,999,650
2025-01-27 00:00:00+00:00,454,15,2123,853
2025-01-28 00:00:00+00:00,302,16,2086,1014
2025-01-29 00:00:00+00:00,186,19,1676,888
2025-01-30 00:00:00+00:00,265,40,1842,876
2025-01-31 00:00:00+00:00,225,49,2024,885
2025-02-01 00:00:00+00:00,47,23,1219,710
2025-02-02 00:00:00+00:00,50,25,1135,734
2025-02-03 00:00:00+00:00,261,45,2072,894
2025-02-04 00:00:00+00:00,229,42,2236,896
2025-02-05 00:00:00+00:00,258,52,2330,879
