time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-21 00:00:00+00:00,27,6,1453,224
2024-07-22 00:00:00+00:00,79,18,2938,541
2024-07-23 00:00:00+00:00,255,23,2973,548
2024-07-24 00:00:00+00:00,519,30,3806,591
2024-07-25 00:00:00+00:00,323,17,3142,518
2024-07-26 00:00:00+00:00,338,25,2971,487
2024-07-27 00:00:00+00:00,28,6,1363,259
2024-07-28 00:00:00+00:00,35,11,911,221
2024-07-29 00:00:00+00:00,143,15,3179,549
2024-07-30 00:00:00+00:00,348,30,3359,558
2024-07-31 00:00:00+00:00,367,29,4332,611
2024-08-01 00:00:00+00:00,184,29,4257,589
2024-08-02 00:00:00+00:00,171,29,3087,511
2024-08-03 00:00:00+00:00,37,9,963,201
