url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/235-controlnet-stable-diffusion,7134,3618
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/233-blip-visual-language-processing,3384,1704
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/231-instruct-pix2pix-image-editing,2270,1164
/openvinotoolkit/openvino_notebooks,2242,1079
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,2236,483
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/236-stable-diffusion-v2,2034,915
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,1396,487
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,1183,309
/openvinotoolkit/openvino_notebooks/blob/main/README.md,736,247
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/242-freevc-voice-conversion,693,356
