url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,3379,1468
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,2975,560
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,967,245
/openvinotoolkit/openvino_notebooks/wiki/Windows,962,406
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,755,233
/openvinotoolkit/openvino_notebooks/pulls,689,44
/openvinotoolkit/openvino_notebooks/tree/recipes/recipes,645,189
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,557,128
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,490,100
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-llm-chatbot.ipynb,468,123
