url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,2219,1016
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,2079,492
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,877,200
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,689,199
/openvinotoolkit/openvino_notebooks/blob/main/README.md,681,224
/openvinotoolkit/openvino_notebooks/pulls,628,45
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-llm-chatbot.ipynb,586,141
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/230-yolov8-optimization/230-yolov8-object-detection.ipynb,419,117
/openvinotoolkit/openvino_notebooks/wiki/Windows,374,204
/openvinotoolkit/openvino_notebooks/tree/main,350,196
