url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/efficient-sam,2493,2331
/openvinotoolkit/openvino_notebooks,2451,1276
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/latent-consistency-models-image-generation,2063,2011
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/deepseek-r1,1177,624
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,993,477
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/stable-video-diffusion/stable-video-diffusion.ipynb,842,688
/openvinotoolkit/openvino_notebooks/wiki/Windows,779,379
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/deepseek-r1/deepseek-r1.ipynb,670,322
/openvinotoolkit/openvino_notebooks/pulls,558,33
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,467,304
