time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-15 00:00:00+00:00,53,31,966,579
2025-03-16 00:00:00+00:00,39,21,1087,621
2025-03-17 00:00:00+00:00,296,57,3517,1158
2025-03-18 00:00:00+00:00,310,59,2566,952
2025-03-19 00:00:00+00:00,292,58,2609,959
2025-03-20 00:00:00+00:00,290,55,2917,1079
2025-03-21 00:00:00+00:00,98,46,2228,1002
2025-03-22 00:00:00+00:00,46,24,1359,802
2025-03-23 00:00:00+00:00,33,15,1402,684
2025-03-24 00:00:00+00:00,441,45,3228,1049
2025-03-25 00:00:00+00:00,85,33,2567,792
2025-03-26 00:00:00+00:00,287,41,2796,1052
2025-03-27 00:00:00+00:00,337,47,2921,1325
2025-03-28 00:00:00+00:00,232,40,2755,1522
