referrer,views_total,views_unique
docs.openvino.ai,1305,461
Google,1226,512
github.com,792,269
notebooks.githubusercontent.com,394,166
go.connect.intel.com,283,151
Bing,244,81
intel.com,194,95
medium.com,90,42
docs.ultralytics.com,73,32
youtube.com,65,35
