url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,2645,1385
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,2263,530
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,903,298
/openvinotoolkit/openvino_notebooks/wiki/Windows,684,331
/openvinotoolkit/openvino_notebooks/tree/recipes/recipes,684,217
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-rag-langchain/llm-rag-langchain.ipynb,610,180
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,594,169
/openvinotoolkit/openvino_notebooks/pulls,500,27
/openvinotoolkit/openvino_notebooks/tree/recipes/recipes/defect_detection_anomalib,418,158
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,390,108
