time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-02 00:00:00+00:00,279,29,4441,658
2024-07-03 00:00:00+00:00,521,30,4537,654
2024-07-04 00:00:00+00:00,272,28,3788,548
2024-07-05 00:00:00+00:00,251,25,3649,552
2024-07-06 00:00:00+00:00,51,19,1309,232
2024-07-07 00:00:00+00:00,37,11,1400,227
2024-07-08 00:00:00+00:00,96,22,3397,603
2024-07-09 00:00:00+00:00,205,24,3457,557
2024-07-10 00:00:00+00:00,490,25,3885,663
2024-07-11 00:00:00+00:00,261,26,4030,581
2024-07-12 00:00:00+00:00,178,26,2752,481
2024-07-13 00:00:00+00:00,29,8,948,228
2024-07-14 00:00:00+00:00,57,15,1110,245
2024-07-15 00:00:00+00:00,307,30,3648,565
