time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-24 00:00:00+00:00,54,17,928,302
2023-12-25 00:00:00+00:00,155,36,1802,453
2023-12-26 00:00:00+00:00,451,35,2326,463
2023-12-27 00:00:00+00:00,91,32,2255,510
2023-12-28 00:00:00+00:00,178,37,2431,504
2023-12-29 00:00:00+00:00,69,32,1990,499
2023-12-30 00:00:00+00:00,187,19,1167,332
2023-12-31 00:00:00+00:00,65,9,885,331
2024-01-01 00:00:00+00:00,41,20,737,121
2024-01-02 00:00:00+00:00,78,44,2474,371
2024-01-03 00:00:00+00:00,168,44,2283,374
2024-01-04 00:00:00+00:00,160,32,2544,385
2024-01-05 00:00:00+00:00,182,36,2033,308
2024-01-06 00:00:00+00:00,37,15,964,145
