url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,2885,1425
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/freevc-voice-conversion,2774,1282
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,2498,571
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,1581,629
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,1454,406
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/riffusion-text-to-music,1349,635
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/distil-whisper-asr,1005,481
/openvinotoolkit/openvino_notebooks/wiki/Windows,883,457
/openvinotoolkit/openvino_notebooks/tree/recipes/recipes,561,194
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/yolov10-optimization/yolov10-optimization.ipynb,497,145
