time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,170,53,2645,323
2026-09-02 00:00:00+00:00,87,29,716,279
2026-09-03 00:00:00+00:00,117,43,670,273
2026-09-04 00:00:00+00:00,929,37,1157,239
2026-09-05 00:00:00+00:00,63,26,315,115
2026-09-06 00:00:00+00:00,57,23,2605,126
2026-09-07 00:00:00+00:00,219,43,569,269
2026-09-08 00:00:00+00:00,323,86,660,252
2026-09-09 00:00:00+00:00,337,62,762,277
2026-09-10 00:00:00+00:00,253,64,694,245
2026-09-11 00:00:00+00:00,178,53,1214,237
2026-09-12 00:00:00+00:00,58,27,379,138
2026-09-13 00:00:00+00:00,57,24,527,156
2026-09-14 00:00:00+00:00,224,33,3002,236
