referrer,views_total,views_unique
Google,2395,908
docs.openvino.ai,1326,405
github.com,1071,303
notebooks.githubusercontent.com,750,219
statics.teams.cdn.office.net,320,91
medium.com,274,78
intel.com,247,98
Bing,216,61
colab.research.google.com,140,43
jira.devtools.intel.com,126,29
