url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/242-freevc-voice-conversion/242-freevc-voice-conversion.ipynb,8345,4242
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/235-controlnet-stable-diffusion,4696,2273
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,3554,757
/openvinotoolkit/openvino_notebooks,3173,1466
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,3015,780
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-llm-chatbot.ipynb,2403,959
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/267-distil-whisper-asr/267-distil-whisper-asr.ipynb,1797,929
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,1451,487
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/241-riffusion-text-to-music/241-riffusion-text-to-music.ipynb,1223,659
/openvinotoolkit/openvino_notebooks/blob/main/README.md,1203,343
