time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-07 00:00:00+00:00,102,32,1956,1039
2025-07-08 00:00:00+00:00,73,33,2009,1081
2025-07-09 00:00:00+00:00,85,37,2323,1176
2025-07-10 00:00:00+00:00,177,57,2187,1065
2025-07-11 00:00:00+00:00,107,39,2023,1146
2025-07-12 00:00:00+00:00,32,17,1319,440
2025-07-13 00:00:00+00:00,78,27,486,192
2025-07-14 00:00:00+00:00,138,31,1078,367
2025-07-15 00:00:00+00:00,98,40,1245,389
2025-07-16 00:00:00+00:00,249,51,1290,374
2025-07-17 00:00:00+00:00,184,44,1464,377
2025-07-18 00:00:00+00:00,150,38,1312,343
2025-07-19 00:00:00+00:00,37,21,1005,156
2025-07-20 00:00:00+00:00,36,22,453,165
