time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-03 00:00:00+00:00,56,20,1588,255
2024-02-04 00:00:00+00:00,61,17,1556,249
2024-02-05 00:00:00+00:00,227,46,3560,510
2024-02-06 00:00:00+00:00,388,50,4458,602
2024-02-07 00:00:00+00:00,166,41,3463,503
2024-02-08 00:00:00+00:00,196,35,2721,442
2024-02-09 00:00:00+00:00,370,41,2785,364
2024-02-10 00:00:00+00:00,47,16,1046,187
2024-02-11 00:00:00+00:00,88,27,1065,160
2024-02-12 00:00:00+00:00,284,38,2468,381
2024-02-13 00:00:00+00:00,320,49,3356,451
2024-02-14 00:00:00+00:00,319,40,2849,433
2024-02-15 00:00:00+00:00,314,61,3256,463
2024-02-16 00:00:00+00:00,300,49,3539,752
