referrer,views_total,views_unique
Google,2066,744
docs.openvino.ai,1257,411
github.com,928,257
notebooks.githubusercontent.com,617,197
statics.teams.cdn.office.net,279,89
Bing,235,71
intel.com,224,87
medium.com,183,77
acgmultimedia.com,123,7
chatgpt.com,117,48
