referrer,views_total,views_unique
Google,1912,684
docs.openvino.ai,1269,376
github.com,878,267
notebooks.githubusercontent.com,578,186
Bing,284,70
statics.teams.cdn.office.net,247,87
intel.com,242,102
medium.com,171,68
chatgpt.com,127,51
acgmultimedia.com,119,7
