referrer,views_total,views_unique
Google,4448,1049
docs.openvino.ai,4372,633
github.com,3501,375
notebooks.githubusercontent.com,1502,248
intel.com,1266,297
medium.com,805,157
Bing,702,124
docs.ultralytics.com,342,51
isus.jp,198,23
linkedin.com,197,41
