url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/efficient-sam,2393,2222
/openvinotoolkit/openvino_notebooks,2287,1203
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/latent-consistency-models-image-generation,1778,1732
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/deepseek-r1,1177,624
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,941,453
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/stable-video-diffusion/stable-video-diffusion.ipynb,762,626
/openvinotoolkit/openvino_notebooks/wiki/Windows,732,359
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/deepseek-r1/deepseek-r1.ipynb,670,322
/openvinotoolkit/openvino_notebooks/pulls,518,32
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,432,289
