url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,1387,823
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,732,331
/openvinotoolkit/openvino_notebooks/wiki/Windows,436,236
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/gemma4/gemma4.ipynb,425,232
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/gemma4,353,213
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,329,246
/openvinotoolkit/openvino_notebooks/tree/latest,323,193
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,274,213
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,201,124
/openvinotoolkit/openvino_notebooks/pulls,197,38
