url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/235-controlnet-stable-diffusion,5735,2827
/openvinotoolkit/openvino_notebooks,2641,1120
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,2008,470
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,1016,312
/openvinotoolkit/openvino_notebooks/blob/main/README.md,862,243
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,666,140
/openvinotoolkit/openvino_notebooks/pulls,624,31
/openvinotoolkit/openvino_notebooks/wiki/Windows,607,326
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-llm-chatbot.ipynb,581,122
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/236-stable-diffusion-v2,445,136
