url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/235-controlnet-stable-diffusion,1797,896
/openvinotoolkit/openvino_notebooks,1387,717
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,1247,315
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/236-stable-diffusion-v2,1062,503
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/233-blip-visual-language-processing,953,478
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/231-instruct-pix2pix-image-editing,815,417
/openvinotoolkit/openvino_notebooks/blob/main/README.md,588,176
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,550,199
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,479,113
/openvinotoolkit/openvino_notebooks/pulls,348,29
