url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,1979,943
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/efficient-sam,1278,1165
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/latent-consistency-models-image-generation,1212,1094
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,845,414
/openvinotoolkit/openvino_notebooks/wiki/Windows,737,306
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/stable-video-diffusion/stable-video-diffusion.ipynb,561,445
/openvinotoolkit/openvino_notebooks/pulls,544,27
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,317,206
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,269,170
/openvinotoolkit/openvino_notebooks/tree/latest,251,187
