time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-08 00:00:00+00:00,331,20,1759,641
2024-11-09 00:00:00+00:00,25,6,839,387
2024-11-10 00:00:00+00:00,27,7,777,424
2024-11-11 00:00:00+00:00,400,17,2061,700
2024-11-12 00:00:00+00:00,250,13,2121,707
2024-11-13 00:00:00+00:00,632,17,2315,637
2024-11-14 00:00:00+00:00,483,18,2113,669
2024-11-15 00:00:00+00:00,222,13,1841,645
2024-11-16 00:00:00+00:00,29,9,828,420
2024-11-17 00:00:00+00:00,33,13,840,406
2024-11-18 00:00:00+00:00,377,13,1826,639
2024-11-19 00:00:00+00:00,556,19,2324,711
2024-11-20 00:00:00+00:00,659,25,2341,779
2024-11-21 00:00:00+00:00,379,23,2059,677
