url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,3093,1393
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,2952,644
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/242-freevc-voice-conversion/242-freevc-voice-conversion.ipynb,1943,959
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-llm-chatbot.ipynb,1371,645
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,1106,333
/openvinotoolkit/openvino_notebooks/wiki/Windows,973,431
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/241-riffusion-text-to-music/241-riffusion-text-to-music.ipynb,779,397
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/267-distil-whisper-asr/267-distil-whisper-asr.ipynb,742,370
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/yolov10-optimization/yolov10-optimization.ipynb,699,230
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,677,202
