url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,890,573
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,492,238
/openvinotoolkit/openvino_notebooks/wiki/Windows,332,179
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/gemma4/gemma4.ipynb,256,127
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,201,153
/openvinotoolkit/openvino_notebooks/tree/latest,160,130
/openvinotoolkit/openvino_notebooks/pulls,156,30
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,148,119
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot-generate-api.ipynb,129,97
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,126,79
