referrer,views_total,views_unique
Google,4983,962
docs.openvino.ai,3130,537
github.com,2589,359
notebooks.githubusercontent.com,1487,223
intel.com,1441,274
Bing,907,105
medium.com,753,134
isus.jp,243,19
colab.research.google.com,229,49
docs.ultralytics.com,207,42
