url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,949,621
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,399,200
/openvinotoolkit/openvino_notebooks/wiki/Windows,266,159
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,195,127
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,147,109
/openvinotoolkit/openvino_notebooks/pulls,147,30
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot-generate-api.ipynb,133,91
/openvinotoolkit/openvino_notebooks/tree/latest,117,82
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,115,95
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/qwen3.8-mtp/qwen3.8-mtp.ipynb,89,65
