url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,1420,871
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,640,334
/openvinotoolkit/openvino_notebooks/wiki/Windows,431,238
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,254,168
/openvinotoolkit/openvino_notebooks/tree/latest,200,124
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,198,144
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,193,107
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,180,97
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,169,116
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/yolov11-optimization/yolov11-object-detection.ipynb,154,106
