time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-04 00:00:00+00:00,273,56,5381,1004
2024-06-05 00:00:00+00:00,468,58,5067,1011
2024-06-06 00:00:00+00:00,460,60,4785,1012
2024-06-07 00:00:00+00:00,494,63,4662,911
2024-06-08 00:00:00+00:00,78,23,2258,583
2024-06-09 00:00:00+00:00,73,31,1984,526
2024-06-10 00:00:00+00:00,330,45,3840,812
2024-06-11 00:00:00+00:00,282,58,5490,983
2024-06-12 00:00:00+00:00,515,65,5076,989
2024-06-13 00:00:00+00:00,546,51,4772,902
2024-06-14 00:00:00+00:00,184,39,3638,668
2024-06-15 00:00:00+00:00,42,12,1389,263
2024-06-16 00:00:00+00:00,39,10,1551,246
2024-06-17 00:00:00+00:00,60,29,3391,561
