url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,1440,885
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,670,346
/openvinotoolkit/openvino_notebooks/wiki/Windows,463,254
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,266,172
/openvinotoolkit/openvino_notebooks/tree/latest,227,131
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,212,116
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,204,154
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,174,100
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/yolov11-optimization/yolov11-object-detection.ipynb,163,110
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-agent-mcp/llm-agent-mcp.ipynb,143,79
