url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,1791,421
/openvinotoolkit/openvino_notebooks,1719,943
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,783,174
/openvinotoolkit/openvino_notebooks/blob/main/README.md,773,236
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,642,199
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/236-stable-diffusion-v2,534,207
/openvinotoolkit/openvino_notebooks/blob/main/README_cn.md,390,106
/openvinotoolkit/openvino_notebooks/wiki/Windows,381,197
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/230-yolov8-optimization/230-yolov8-object-detection.ipynb,356,97
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/235-controlnet-stable-diffusion,342,170
