url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,824,526
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,356,188
/openvinotoolkit/openvino_notebooks/wiki/Windows,270,162
/openvinotoolkit/openvino_notebooks/pulls,231,17
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,171,132
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/gemma4/gemma4.ipynb,167,99
/openvinotoolkit/openvino_notebooks/tree/latest,164,105
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,116,90
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,113,70
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,97,85
