referrer,views_total,views_unique
Google,2271,856
docs.openvino.ai,1315,419
github.com,1114,278
notebooks.githubusercontent.com,609,204
Bing,291,86
statics.teams.cdn.office.net,281,83
intel.com,259,106
cn.bing.com,145,37
medium.com,137,66
chatgpt.com,108,51
