time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-13 00:00:00+00:00,80,39,1748,238
2026-07-14 00:00:00+00:00,120,34,679,265
2026-07-15 00:00:00+00:00,514,48,654,241
2026-07-16 00:00:00+00:00,125,45,459,207
2026-07-17 00:00:00+00:00,368,50,1053,227
2026-07-18 00:00:00+00:00,83,31,428,156
2026-07-19 00:00:00+00:00,47,26,378,151
2026-07-20 00:00:00+00:00,1293,43,2556,240
2026-07-21 00:00:00+00:00,641,36,607,251
2026-07-22 00:00:00+00:00,232,31,551,248
2026-07-23 00:00:00+00:00,95,21,533,246
2026-07-24 00:00:00+00:00,109,39,1034,229
2026-07-25 00:00:00+00:00,60,29,470,173
2026-07-26 00:00:00+00:00,40,21,2260,141
