url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/wav2lip,15541,11713
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/yolov11-optimization/yolov11-keypoint-detection.ipynb,3036,1214
/openvinotoolkit/openvino_notebooks,2174,1093
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,988,556
/openvinotoolkit/openvino_notebooks/wiki/Windows,598,299
/openvinotoolkit/openvino_notebooks/pulls,470,35
/openvinotoolkit/openvino_notebooks/tree/recipes/recipes,381,88
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,371,259
/openvinotoolkit/openvino_notebooks/issues,327,77
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/yolov11-optimization,323,257
