time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,515,49,1117,284
2026-03-14 00:00:00+00:00,44,22,706,182
2026-03-15 00:00:00+00:00,34,17,475,167
2026-03-16 00:00:00+00:00,70,38,847,317
2026-03-17 00:00:00+00:00,241,37,1005,294
2026-03-18 00:00:00+00:00,168,57,1073,371
2026-03-19 00:00:00+00:00,241,39,907,315
2026-03-20 00:00:00+00:00,382,37,1251,283
2026-03-21 00:00:00+00:00,44,21,749,174
2026-03-22 00:00:00+00:00,64,27,545,205
2026-03-23 00:00:00+00:00,177,50,1143,461
2026-03-24 00:00:00+00:00,98,35,961,334
2026-03-25 00:00:00+00:00,213,26,996,335
2026-03-26 00:00:00+00:00,158,44,852,315
