url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/wav2lip,6335,5517
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/yolov11-optimization/yolov11-keypoint-detection.ipynb,1540,1435
/openvinotoolkit/openvino_notebooks,1370,801
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,808,369
/openvinotoolkit/openvino_notebooks/wiki/Windows,553,280
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,319,208
/openvinotoolkit/openvino_notebooks/pulls,229,13
/openvinotoolkit/openvino_notebooks/tree/latest,204,140
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,199,126
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,168,109
