time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-02 00:00:00+00:00,74,30,1018,286
2025-09-03 00:00:00+00:00,131,36,997,280
2025-09-04 00:00:00+00:00,69,30,888,290
2025-09-05 00:00:00+00:00,116,28,1115,284
2025-09-06 00:00:00+00:00,33,16,937,144
2025-09-07 00:00:00+00:00,33,14,340,128
2025-09-08 00:00:00+00:00,50,32,861,290
2025-09-09 00:00:00+00:00,47,24,1010,320
2025-09-10 00:00:00+00:00,56,28,1109,326
2025-09-11 00:00:00+00:00,57,21,861,318
2025-09-12 00:00:00+00:00,67,38,777,267
2025-09-13 00:00:00+00:00,28,13,787,145
2025-09-14 00:00:00+00:00,31,15,306,135
2025-09-15 00:00:00+00:00,40,25,859,289
