url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,3395,1447
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,2909,562
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,1025,266
/openvinotoolkit/openvino_notebooks/wiki/Windows,833,406
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,831,272
/openvinotoolkit/openvino_notebooks/pulls,705,41
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,667,135
/openvinotoolkit/openvino_notebooks/tree/recipes/recipes,566,157
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-llm-chatbot.ipynb,512,139
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot.ipynb,444,83
