url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,739,518
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,355,199
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/gemma4/gemma4.ipynb,246,141
/openvinotoolkit/openvino_notebooks/wiki/Windows,219,136
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,204,141
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,135,106
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/gemma4,120,70
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,115,96
/openvinotoolkit/openvino_notebooks/pulls,114,23
/openvinotoolkit/openvino_notebooks/tree/latest,113,92
