url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,1359,829
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,617,306
/openvinotoolkit/openvino_notebooks/wiki/Windows,440,247
/openvinotoolkit/openvino_notebooks/pulls,272,34
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/llm-chatbot,236,184
/openvinotoolkit/openvino_notebooks/tree/latest,228,117
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,221,159
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,205,146
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,152,89
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/llm-chatbot/llm-chatbot-generate-api.ipynb,116,92
