url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/efficient-sam,3183,2954
/openvinotoolkit/openvino_notebooks,2466,1148
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/latent-consistency-models-image-generation,1821,1638
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,1159,540
/openvinotoolkit/openvino_notebooks/wiki/Windows,702,353
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/263-latent-consistency-models-image-generation,701,446
/openvinotoolkit/openvino_notebooks/pulls,536,22
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,527,311
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/deepseek-r1,390,294
/openvinotoolkit/openvino_notebooks/tree/latest,382,258
