url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/main/notebooks,2355,515
/openvinotoolkit/openvino_notebooks,2040,1049
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/254-llm-chatbot,1453,375
/openvinotoolkit/openvino_notebooks/blob/main/README.md,907,268
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-llm-chatbot.ipynb,803,199
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/230-yolov8-optimization,707,192
/openvinotoolkit/openvino_notebooks/pulls,619,42
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/230-yolov8-optimization/230-yolov8-object-detection.ipynb,437,123
/openvinotoolkit/openvino_notebooks/blob/main/notebooks/254-llm-chatbot/254-rag-chatbot.ipynb,415,103
/openvinotoolkit/openvino_notebooks/tree/2023.3/notebooks,395,131
