referrer,views_total,views_unique
eweek.com,4280,87
Google,3831,1668
techrepublic.com,2674,95
docs.openvino.ai,1693,539
github.com,1527,292
notebooks.githubusercontent.com,855,326
Bing,361,96
intel.com,300,140
medium.com,265,100
statics.teams.cdn.office.net,202,54
