time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-13 00:00:00+00:00,98,45,940,292
2025-10-14 00:00:00+00:00,49,29,975,308
2025-10-15 00:00:00+00:00,137,54,1218,345
2025-10-16 00:00:00+00:00,176,49,1377,353
2025-10-17 00:00:00+00:00,102,50,922,316
2025-10-18 00:00:00+00:00,60,31,971,178
2025-10-19 00:00:00+00:00,33,15,343,144
2025-10-20 00:00:00+00:00,87,35,869,284
2025-10-21 00:00:00+00:00,104,44,1094,323
2025-10-22 00:00:00+00:00,118,41,949,356
2025-10-23 00:00:00+00:00,137,47,887,340
2025-10-24 00:00:00+00:00,332,48,947,291
2025-10-25 00:00:00+00:00,42,24,964,177
2025-10-26 00:00:00+00:00,27,12,356,149
