url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/wav2lip,8355,7158
/openvinotoolkit/openvino_notebooks/blob/latest/notebooks/yolov11-optimization/yolov11-keypoint-detection.ipynb,1538,1431
/openvinotoolkit/openvino_notebooks,1361,795
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,847,387
/openvinotoolkit/openvino_notebooks/wiki/Windows,533,267
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,315,196
/openvinotoolkit/openvino_notebooks/tree/latest,222,154
/openvinotoolkit/openvino_notebooks/pulls,207,14
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/vision-monodepth,197,125
/openvinotoolkit/openvino_notebooks/wiki/Ubuntu,179,103
