url_path,views_total,views_unique
/openvinotoolkit/openvino_notebooks,2704,1310
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/efficient-sam,2650,2427
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/latent-consistency-models-image-generation,1536,1445
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks,1052,491
/openvinotoolkit/openvino_notebooks/wiki/Windows,921,382
/openvinotoolkit/openvino_notebooks/tree/main/notebooks/263-latent-consistency-models-image-generation,893,415
/openvinotoolkit/openvino_notebooks/tree/latest/notebooks/deepseek-r1,635,406
/openvinotoolkit/openvino_notebooks/blob/latest/README.md,479,305
/openvinotoolkit/openvino_notebooks/pulls,419,20
/openvinotoolkit/openvino_notebooks/tree/latest,339,223
