time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-11 00:00:00+00:00,169,48,2292,930
2025-02-12 00:00:00+00:00,207,67,2730,1044
2025-02-13 00:00:00+00:00,143,46,3045,1196
2025-02-14 00:00:00+00:00,87,44,2165,1060
2025-02-15 00:00:00+00:00,50,30,1291,714
2025-02-16 00:00:00+00:00,50,23,1104,701
2025-02-17 00:00:00+00:00,188,38,2469,1130
2025-02-18 00:00:00+00:00,186,53,2277,1032
2025-02-19 00:00:00+00:00,159,57,2264,926
2025-02-20 00:00:00+00:00,141,43,2242,891
2025-02-21 00:00:00+00:00,302,50,2585,908
2025-02-22 00:00:00+00:00,72,26,1245,684
2025-02-23 00:00:00+00:00,82,24,1089,677
2025-02-24 00:00:00+00:00,365,50,2347,862
