time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-10 00:00:00+00:00,148,35,1349,426
2025-06-11 00:00:00+00:00,144,38,1314,425
2025-06-12 00:00:00+00:00,164,31,1538,393
2025-06-13 00:00:00+00:00,134,35,1432,364
2025-06-14 00:00:00+00:00,61,19,873,176
2025-06-15 00:00:00+00:00,35,20,675,150
2025-06-16 00:00:00+00:00,312,40,1523,421
2025-06-17 00:00:00+00:00,261,54,1536,425
2025-06-18 00:00:00+00:00,188,51,1191,398
2025-06-19 00:00:00+00:00,43,20,978,322
2025-06-20 00:00:00+00:00,58,28,2135,1243
2025-06-21 00:00:00+00:00,35,18,1017,168
2025-06-22 00:00:00+00:00,34,15,568,177
2025-06-23 00:00:00+00:00,385,43,2436,1308
